編號,資料來源,資料名稱,我們的建議分類,主要欄位,分類及編號,資料集描述,主要欄位說明
418,臺北市公共運輸處,預定班表資訊,101,"Id	主索引/查詢代碼
PathAttributeId	附屬路線 ID
DateType	""日期型別：
預設 0：星期(WeekDay) / 1：特殊日期(SpecialdDay)""
DateValue	""日期參數值：若 DATE_TYPE=WeekDay，1~7：1：星期日(預設)，2：星期一，7：星期六；若 DATE_TYPE=SpecialDay, yyyymmdd""
DepartureTime	發車時間：hhmm(24 小時制)
IsLastBus	是否為末班車(0：非末班車 / 1：末班車)
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"Id	主索引/查詢代碼
PathAttributeId	附屬路線 ID
DateType	""日期型別：
預設 0：星期(WeekDay) / 1：特殊日期(SpecialdDay)""
DateValue	""日期參數值：若 DATE_TYPE=WeekDay，1~7：1：星期日(預設)，2：星期一，7：星期六；若 DATE_TYPE=SpecialDay, yyyymmdd""
DepartureTime	發車時間：hhmm(24 小時制)
IsLastBus	是否為末班車(0：非末班車 / 1：末班車)
"
419,臺北市公共運輸處,附屬路線與路線對應資訊,101,"Id	主索引
PathAttributeId	附屬路線 ID
StopId	站牌 ID
SequenceNo	站序
Type	類別：0：正常 CPT：控制點)
TypeAttribute	類別屬性描述(例如控制點時間之描述)
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"Id	主索引
PathAttributeId	附屬路線 ID
StopId	站牌 ID
SequenceNo	站序
Type	類別：0：正常 CPT：控制點)
TypeAttribute	類別屬性描述(例如控制點時間之描述)
"
420,臺北市公共運輸處,預估到站時間,101,"RouteID	路線代碼 (主路線 ID)
StopID	站牌代碼
EstimateTime	預估到站剩餘時間（單位：秒）
-1：尚未發車
-2：交管不停靠
-3：末班車已過
-4：今日未營運
GoBack	去返程 （0：去程 1：返程 2：尚未發車 3：末班已駛離）
",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"RouteID	路線代碼 (主路線 ID)
StopID	站牌代碼
EstimateTime	預估到站剩餘時間（單位：秒）
-1：尚未發車
-2：交管不停靠
-3：末班車已過
-4：今日未營運
GoBack	去返程 （0：去程 1：返程 2：尚未發車 3：末班已駛離）
"
421,臺北市公共運輸處,機動班次時刻表,101,"Id	主索引/查詢代碼
PathAttributeId	附屬路線 ID
StartTime	尖離峰時間(起)
EndTime	尖離峰時間(迄)
LongHeadway	發車間距(高)
LowHeadway	發車間距(低)
DateType	星期為0/指定特殊日為1",公共資訊,文件請參閱以下連結。http://tcgwww.taipei.gov.tw/public/Attachment/66149283218.docx,"Id	主索引/查詢代碼
PathAttributeId	附屬路線 ID
StartTime	尖離峰時間(起)
EndTime	尖離峰時間(迄)
LongHeadway	發車間距(高)
LowHeadway	發車間距(低)
DateType	星期為0/指定特殊日為1"
422,臺北市立動物園,大貓熊參觀票券,4,日期、星期、是否休館、是否抽票、說明,休閒旅遊,提供臺北市立動物園大貓熊圓仔參觀票券抽取最新訊息，包含每日是否休館、是否抽票，以及停展說明。,日期、星期、是否休館、是否抽票、說明
423,臺北市政府民政局,臺北市市容查報系統,8,"查報日期(年月日)
大類
細項
行政區
里名
路段名
目前執行情形
收件日期(年月日)
完工日期(年月日)
結案日期(年月日)
權責單位
案件描述
地點補充
",公共資訊,市容查報系統104年起案件查報資料,"查報日期(年月日)
大類
細項
行政區
里名
路段名
目前執行情形
收件日期(年月日)
完工日期(年月日)
結案日期(年月日)
權責單位
案件描述
地點補充
"
424,臺北市交通管制工程處,臺北市機車專用道,102,路名、方向,交通及通訊,機車專用道資料,路名、方向
425,臺北市交通管制工程處,臺北市市區自行車道,102,路名、方向,交通及通訊,自行車道資料,路名、方向
426,臺北市交通管制工程處,臺北市公車專用道,101,路名、方向,交通及通訊,公車專用道資料,路名、方向
427,臺北市交通管制工程處,臺北市CCTV設施,102,設備編號、設施名稱、方向、車道數、座標,交通及通訊,閉路電視攝影機設備資料,設備編號、設施名稱、方向、車道數、座標
428,臺北市停車管理工程處,臺北市自行車架,102,格位、車架、路段、面積、長度,公共資訊,停車格位資訊,格位、車架、路段、面積、長度
429,臺北市停車管理工程處,臺北市機車停車彎,102,格位、格位類別、路段,公共資訊,停車格位資訊,格位、格位類別、路段
430,臺北市勞動力重建運用處,身障就業資源地圖,95,服務機構、障別、服務類型、聯絡人、地址、電話。,求職及就業,"身障就業資源地圖(職業重建暨就業服務、職業輔導評量服務、職務再設計、就業服務機構、庇護工場)
依身心障礙者權益保障法第三十四條第一項規定，各級勞工主管機關對於具有就業意願及就業能力，而不足以獨立在競爭性就業市場工作之身心障礙者，應依其工作能力，提供個別化就業安置、訓練及其他工作協助等支持性就業服務。
而影響身障者就業穩定的重要因素之一即是交通，讓身障者可以就近在居住一定範圍內，或在交通便利上可以方便找到服務單位，一直是本處提供便利服務的重要指標。
因此建立身障就業資源地圖，讓有需要服務的身障者可以就近尋求服務，就是重要的工作原則之一。在網站上將各種不同服務方案，標列在地圖上，而且把各服務據點的地址、電話一一列出，可以讓身障者可依自行方便的區域尋求服務，既符合法令規定，在實務上也可更貼近便民的服務理念。 
",服務機構、障別、服務類型、聯絡人、地址、電話。
431,臺北市勞動力重建運用處,庇護商品館(臺北市庇護工場名冊),95,庇護工場名稱、營業時間、電話、地址,公共資訊,臺北市庇護工場通訊資料,庇護工場名稱、營業時間、電話、地址
432,臺北市政府工務局水利工程處,臺北市降雨淹水模擬圖,16,"本市短延時強降雨條件下（78.8mm/hr、100mm/hr、130mm/hr）之可能積水範圍、可能積水深度。

※深度10公分以下之地表逕流不顯示於圖面中。

（直接瀏覽網址：https://www.google.com/maps/d/viewer?mid=zCRWCdi-t4dk.kwfkt9RpU_8o）",公共資訊,臺北市降雨淹水模擬圖、圖層空間參考系統座標是TWD67-TM2(zone121)座標,"本市短延時強降雨條件下（78.8mm/hr、100mm/hr、130mm/hr）之可能積水範圍、可能積水深度。

※深度10公分以下之地表逕流不顯示於圖面中。

（直接瀏覽網址：https://www.google.com/maps/d/viewer?mid=zCRWCdi-t4dk.kwfkt9RpU_8o）"
433,臺北市政府工務局水利工程處,臺北市水利處雨量站,11,名稱、所屬單位、座標(TWD67)、行政區,公共資訊,雨量站位置,名稱、所屬單位、座標(TWD67)、行政區
434,臺北市政府民政局,臺北市里界圖,21,面積、市代碼、區代碼、里代碼、市名、行政區、里名、座標(TWD97),公共資訊,行政里界之調整為本局之權責，另為推動業務上運用地理資訊，特將本市456個里加以建置GIS圖層供各公務機關參考使用，本項資料所採用座標系統為TWD97。,面積、市代碼、區代碼、里代碼、市名、行政區、里名、座標(TWD97)
435,臺北市政府民政局,臺北市區界圖,21,面積、市代碼、區代碼、市名、行政區、座標(TWD97),公共資訊,行政區界之調整為本局之權責，另為推動業務上運用地理資訊，特將本市十二個行政區加以建置GIS圖層供各公務機關參考使用，本項資料所採用座標系統為TWD97。,面積、市代碼、區代碼、市名、行政區、座標(TWD97)
436,臺北市政府民政局,臺北市鄰界圖,21,本項資料為shape file 格式，請解壓縮，其內容有：區名(SECT_NAME)、區代碼(SECT_CODE)、里名(LIE_NAME)、里代碼(LIE_CODE)、鄰別(LI_NO),公共資訊,為配合政府資訊公開政策，俾利業務上運用地理資訊， 特將本市12行政區，456個里下之各鄰界加以建置GIS圖層供各公務機關或相關單位參考使用，本項資料所採用座標系統為TWD97。,本項資料為shape file 格式，請解壓縮，其內容有：區名(SECT_NAME)、區代碼(SECT_CODE)、里名(LIE_NAME)、里代碼(LIE_CODE)、鄰別(LI_NO)
437,臺北大眾捷運股份有限公司,臺北捷運轉乘停車場座標,102,停車場名稱、停車場座標,交通及通訊,臺北捷運轉乘停車場座標,停車場名稱、停車場座標
438,臺北市政府民政局,臺北市各區公所免費市民法律諮詢服務資料,16,"區別(district)、調解會秘書(secretary,Mediation Committee)、聯絡電話(telephone)、機關地址(address)  受理方式：  (一)服務地點：臺北市12區公所。  (二)服務時間：每週一至週五，上午9時30分至11時30分。  (三)登記方式：電話預約或當日現場登記，原則各5位（為維護服務品質，每人諮詢時間約10-15分鐘），名額有限、預約從速，細節請洽各區公所調解秘書。  (四)服務範圍：各種法律問題皆可詢問，惟不提供電話諮詢、不代寫訴狀。",公共資訊,臺北市各區公所法律諮詢服務相關資料,"區別(district)、調解會秘書(secretary,Mediation Committee)、聯絡電話(telephone)、機關地址(address)  受理方式：  (一)服務地點：臺北市12區公所。  (二)服務時間：每週一至週五，上午9時30分至11時30分。  (三)登記方式：電話預約或當日現場登記，原則各5位（為維護服務品質，每人諮詢時間約10-15分鐘），名額有限、預約從速，細節請洽各區公所調解秘書。  (四)服務範圍：各種法律問題皆可詢問，惟不提供電話諮詢、不代寫訴狀。"
439,臺北市政府產業發展局,臺北市有機農場,4,行政區、農場名稱、聯絡人、電話,休閒旅遊,臺北市取得有機驗證之有機農場名單。,行政區、農場名稱、聯絡人、電話
440,臺北市政府產業發展局,臺北市地區農會信用部地址一覽表,13,信用部名稱、地址,公共資訊,臺北市地區農會信用部地址一覽表。,信用部名稱、地址
441,臺北市政府產業發展局,臺北市各區農會地址一覽表,13,農會名稱、郵遞區號、農會地址、電話,公共資訊,臺北市各區農會地址一覽表。,農會名稱、郵遞區號、農會地址、電話
442,臺北市政府產業發展局,木柵/南港茶園觀光資料,4,姓名、地址、電話,公共資訊,木柵/南港茶園觀光資料。,姓名、地址、電話
443,臺北市政府產業發展局,臺北市溫泉監測井圖,13,井位編號、所屬溫泉區編號、座標(TWD97)、鑽探深度、位置、年度,公共資訊,臺北市溫泉監測井圖。,井位編號、所屬溫泉區編號、座標(TWD97)、鑽探深度、位置、年度
444,臺北市政府產業發展局,臺北市溫泉地區鑽探紀錄圖,13,長度、座標(TWD97)、編號,公共資訊,臺北市溫泉地區鑽探紀錄圖。,長度、座標(TWD97)、編號
445,臺北市政府產業發展局,臺北市溫泉地區地電阻分布圖,13,名稱、座標、深度,公共資訊,臺北市溫泉地區地電阻分布圖。,名稱、座標、深度
446,臺北市政府產業發展局,臺北市溫泉露頭區公告範圍圖,13,名稱、區域名稱、區域面積,公共資訊,臺北市溫泉露頭區公告範圍圖。,名稱、區域名稱、區域面積
447,臺北市政府產業發展局,臺北市地溫分布圖,11,名稱,公共資訊,臺北市地溫分布圖。,名稱
448,臺北市政府工務局水利工程處,臺北市六大自行車道,4,路線、特色描述,休閒旅遊,"六大自行車道介紹,WGS84座標",路線、特色描述
449,臺北市政府工務局水利工程處,臺北市河濱公園,4,"編號、區域、名稱、總面積、所屬河系、停車場、景點描述,WGS84座標",休閒旅遊,28座河濱公園介紹,"編號、區域、名稱、總面積、所屬河系、停車場、景點描述,WGS84座標"
450,臺北市政府工務局水利工程處,臺北市河濱休憩點,4,"Riverside_Park,Location,Latitude,Longitude,Type,Photo
",休閒旅遊,"各自行車休憩點位置,WGS84座標","Riverside_Park,Location,Latitude,Longitude,Type,Photo
"
451,臺北市政府工務局水利工程處,臺北市河濱自行車道景點,4,"Riverside_Park,Scenic_Spot,Latitude,Longitude,Description,Photo
",休閒旅遊,"河濱自行車道週邊景點介紹,WGS84座標","Riverside_Park,Scenic_Spot,Latitude,Longitude,Description,Photo
"
452,臺北市政府產業發展局,臺北市供氣區域分布圖,5,行政區､公司名稱,公共資訊,臺北市四家公用天然氣事業供氣區域分布圖。,行政區､公司名稱
453,臺北市政府工務局水利工程處,臺北市自行車可通行之橋樑,4,"Riverside_Park,Location,Latitude,Longitude,Photo",休閒旅遊,"自行車可通行之橋樑,WGS84座標","Riverside_Park,Location,Latitude,Longitude,Photo"
454,臺北市政府工務局水利工程處,臺北市河濱求救點資訊,14,"X,Y,Name,河系,管理站",休閒旅遊,"河濱求救點資訊,WGS84座標","X,Y,Name,河系,管理站"
455,臺北市政府工務局水利工程處,臺北市自行車道(河濱),4,"Route,Description",交通及通訊,"自行車道(河濱)介紹,WGS84座標","Route,Description"
456,臺北市政府產業發展局,竹子湖海芋觀光農園資料,4,農園主、農園名稱、聯絡電話、位 置,公共資訊,竹子湖海芋觀光農園資料。,農園主、農園名稱、聯絡電話、位 置
457,臺北市政府工務局水利工程處,臺北市疏散門資訊,14,"X,Y,Name,Descriptio,field_3
",公共資訊,"臺北市疏散門位置,WGS84座標","X,Y,Name,Descriptio,field_3
"
458,臺北市政府產業發展局,臺北市地下水鑿井業登記資料,13,"鑿井業名稱、證號、營業地址、負責人姓名、狀態、 座標(TWD97)
",公共資訊,臺北市地下水鑿井業登記資料,"鑿井業名稱、證號、營業地址、負責人姓名、狀態、 座標(TWD97)
"
459,臺北市政府產業發展局,臺北市用電設備檢驗維護業登記資料,13,維護業名稱、證號、營利事業統一編號、營業地址、負責人姓名、狀態、 核設日期、核設文號、座標(TWD97),公共資訊,臺北市用電設備檢驗維護業登記資料,維護業名稱、證號、營利事業統一編號、營業地址、負責人姓名、狀態、 核設日期、核設文號、座標(TWD97)
460,臺北市政府產業發展局,臺北市生技廠商企業名錄,13,"單位名稱、統一編號、負責人、登記地址、公司電話、主要經營項目
",公共資訊,臺北市生技廠商企業名錄,"單位名稱、統一編號、負責人、登記地址、公司電話、主要經營項目
"
